% time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm),uncertainty (unitless)
1999047,0.05,8.550073982149797E-10,73.76863098144531
1999047,0.15,5.2686402796098264E-8,11.633414268493652
1999047,0.25,4.0877833384911355E-7,3.061088800430298
1999047,0.35,1.4635477327828994E-6,1.3514430522918701
1999047,0.45,4.2743376980070025E-6,0.7874619364738464
1999047,0.55,1.5193465515039861E-5,0.5942615270614624
1999047,0.65,2.359414975217078E-5,0.5063351392745972
1999047,0.75,2.3791993953636847E-5,0.47732052206993103
1999047,0.85,3.8110789319034666E-5,0.35972005128860474
1999047,0.95,5.776418402092531E-5,0.3717462420463562
1999047,1.05,7.427916716551408E-5,0.3520161509513855
1999047,1.15,9.850803326116875E-5,0.363992303609848
1999047,1.25,1.4101348642725497E-4,0.30176013708114624
1999047,1.35,2.0546282758004963E-4,0.32852908968925476
1999047,1.45,3.1818775460124016E-4,0.31061550974845886
1999047,1.55,4.0883044130168855E-4,0.32082536816596985
1999047,1.65,4.2516872053965926E-4,0.2920944392681122
1999047,1.75,3.5488043795339763E-4,0.23620744049549103
1999047,1.85,2.3456578492186964E-4,0.20189321041107178
1999047,1.95,1.1674400593619794E-4,0.15964573621749878
1999047,2.05,1.736367412377149E-4,0.10789584368467331
1999047,2.15,1.604588469490409E-4,0.10841736197471619
1999047,2.25,1.5543604968115687E-4,0.10455789417028427
1999047,2.35,3.69895133189857E-5,0.1405307501554489
1999047,2.45,3.6508125049294904E-5,0.1519077867269516
1999047,2.55,3.682152964756824E-5,0.13437511026859283
1999047,2.65,2.224646414106246E-5,0.1468762308359146
1999047,2.75,3.4118864277843386E-5,0.11233719438314438
1999047,2.85,3.666841075755656E-5,0.10492724180221558
1999047,2.95,3.712886609719135E-5,0.10177529603242874
1999047,3.05,2.661609323695302E-5,0.11662929505109787
1999047,3.15,2.5841125534498133E-5,0.13318559527397156
1999047,3.25,6.154156289994717E-5,0.10586277395486832
1999047,3.35,6.400638812920079E-5,0.10538693517446518
1999047,3.45,5.992691149003804E-5,0.0962771475315094
1999047,3.55,2.892975498980377E-5,0.11123596131801605
1999047,3.65,2.6404020900372416E-5,0.12526419758796692
1999047,3.75,2.1542295144172385E-5,0.13438737392425537
1999047,3.85,2.2244672436499968E-5,0.11855641007423401
1999047,3.95,8.437201904598624E-5,0.07506070286035538
1999047,4.05,8.762057404965162E-5,0.0769338458776474
1999047,4.15,8.973383228294551E-5,0.07561036199331284
1999047,4.25,4.197576708975248E-5,0.10367490351200104
1999047,4.35,6.252305320231244E-5,0.1041678711771965
1999047,4.45,6.206655234564096E-5,0.1108097955584526
1999047,4.55,7.298361015273258E-5,0.10712025314569473
1999047,4.65,6.498186121461913E-5,0.10007461160421371
1999047,4.75,6.04805609327741E-5,0.09279663860797882
1999047,4.85,4.655361408367753E-5,0.0880870521068573
1999047,4.95,7.675977394683287E-5,0.08869737386703491
1999047,5.05,7.339926378335804E-5,0.09292202442884445
1999047,5.15,7.687984179938212E-5,0.09181728959083557
1999047,5.25,3.617801849031821E-5,0.10161979496479034
1999047,5.35,5.2140483603579924E-5,0.10180166363716125
1999047,5.45,6.976183067308739E-5,0.08606956154108047
1999047,5.55,7.841943443054333E-5,0.08113593608140945
1999047,5.65,7.906983228167519E-5,0.07549580186605453
1999047,5.75,4.40223011537455E-5,0.08219509571790695
1999047,5.85,3.692583413794637E-5,0.08974173665046692
1999047,5.95,2.701897574297618E-5,0.08097367733716965
1999047,6.05,1.028604747261852E-4,0.07308749109506607
1999047,6.15,1.2014724779874086E-4,0.0608387291431427
1999047,6.25,1.5723702381365E-4,0.07907816767692566
1999047,6.35,1.509777648607269E-4,0.09581480175256729
1999047,6.45,7.457863830495626E-5,0.06623619049787521
1999047,6.55,1.117209394578822E-4,0.08685383945703506
1999047,6.65,1.1200008884770796E-4,0.09255874902009964
1999047,6.75,7.762310997350141E-5,0.06566590815782547
1999047,6.85,5.393395258579403E-5,0.06834683567285538
1999047,6.95,1.6380571469198912E-4,0.07518769800662994
1999047,7.05,9.877813863568008E-5,0.06725329905748367
1999047,7.15,9.824297012528405E-5,0.0670185312628746
1999047,7.25,1.0508512059459463E-4,0.057444002479314804
1999047,7.35,8.059677929850295E-5,0.07188411056995392
1999047,7.45,7.740806177025661E-5,0.05728941410779953
1999047,7.55,1.0366372589487582E-4,0.06903598457574844
1999047,7.65,1.0442099301144481E-4,0.08592043817043304
1999047,7.75,7.551135786343366E-5,0.060204632580280304
1999047,7.85,6.530332029797137E-5,0.06153684854507446
1999047,7.95,6.273876351770014E-5,0.06349128484725952
1999047,8.05,6.99009106028825E-5,0.07049145549535751
1999047,8.15,7.532058225478977E-5,0.05690692737698555
1999047,8.25,1.1108904436696321E-4,0.06140004098415375
1999047,8.35,9.862954175332561E-5,0.05750240385532379
1999047,8.45,8.498715760651976E-5,0.06292467564344406
1999047,8.55,7.01027165632695E-5,0.06399614363908768
1999047,8.65,6.032615783624351E-5,0.055517181754112244
1999047,8.75,5.5268596042878926E-5,0.05493966490030289
1999047,8.85,6.082432082621381E-5,0.054909054189920425
1999047,8.95,6.531269900733605E-5,0.06112305447459221
1999047,9.05,6.106120417825878E-5,0.06028135493397713
1999047,9.15,6.668418063782156E-5,0.05844702571630478
1999047,9.25,6.172763096401468E-5,0.06047568470239639
1999047,9.35,7.159595406847075E-5,0.07167313247919083
1999047,9.45,4.7584751882823184E-5,0.07983175665140152
1999047,9.55,6.266772834351286E-5,0.053805332630872726
1999047,9.65,6.1086866480764E-5,0.05707315728068352
1999047,9.75,4.8294688895111904E-5,0.0490104965865612
1999047,9.85,5.5715117923682556E-5,0.05411165952682495
1999047,9.95,3.4118413168471307E-5,0.05416690558195114
1999047,10.05,5.72278986510355E-5,0.05513573810458183
1999047,10.15,4.242847717250697E-5,0.05950899049639702
1999047,10.25,4.933749733027071E-5,0.058111414313316345
1999047,10.35,7.004191866144538E-5,0.054050322622060776
1999047,10.45,4.2309540731366724E-5,0.06294341385364532
1999047,10.55,3.7300458643585443E-5,0.056500792503356934
1999047,10.65,2.5646022550063208E-5,0.05165548250079155
1999047,10.75,2.1956879209028557E-5,0.058164406567811966
1999047,10.85,3.4483429772080854E-5,0.07601193338632584
1999047,10.95,2.4307091734954156E-5,0.06560255587100983
1999047,11.05,1.8659295164979994E-5,0.055987827479839325
1999047,11.15,3.710086093633436E-5,0.05529594048857689
1999047,11.25,2.411227615084499E-5,0.05465884134173393
1999047,11.35,2.6824431188288145E-5,0.052495311945676804
1999047,11.45,2.731197491812054E-5,0.05595966801047325
1999047,11.55,2.4700129870325327E-5,0.045864276587963104
1999047,11.65,3.4977747418452054E-5,0.045225437730550766
1999047,11.75,2.9182303478592075E-5,0.06503499299287796
1999047,11.85,1.7109679902205244E-5,0.06156653165817261
1999047,11.95,1.7136873793788254E-5,0.05094623565673828
1999047,12.05,1.8626373275765218E-5,0.06125587597489357
1999047,12.15,1.8958604414365254E-5,0.0642561987042427
1999047,12.25,1.793841875041835E-5,0.05193578079342842
1999047,12.35,2.111920912284404E-5,0.05377743020653725
1999047,12.45,1.2774985407304484E-5,0.060421545058488846
1999047,12.55,1.040803090290865E-5,0.06031506136059761
1999047,12.65,8.744899787416216E-6,0.06137313321232796
1999047,12.75,1.3060153833066579E-5,0.04843254014849663
1999047,12.85,1.2629958291654475E-5,0.08645198494195938
1999047,12.95,1.5202228496491443E-5,0.05567970871925354
1999047,13.05,1.9143441022606567E-5,0.044016141444444656
1999047,13.15,2.4707804186618887E-5,0.0581839457154274
1999047,13.25,1.40475676744245E-5,0.09540361911058426
1999047,13.35,1.404326394549571E-5,0.0913761556148529
1999047,13.45,1.5829746189410798E-5,0.06128103658556938
1999047,13.55,1.0091848707816098E-5,0.07216023653745651
1999047,13.65,1.2892662198282778E-5,0.05614478886127472
1999047,13.75,1.1853111573145725E-5,0.05624702572822571
1999047,13.85,1.458624865335878E-5,0.049812737852334976
1999047,13.95,1.3118033166392706E-5,0.058515943586826324
1999047,14.05,2.0365330783533864E-5,0.05614757165312767
1999047,14.15,1.9214610802009702E-5,0.07831728458404541
1999047,14.25,1.1122167052235454E-5,0.05650423839688301
1999047,14.35,1.4787297004659194E-5,0.048197101801633835
1999047,14.45,3.069632293772884E-5,0.05336099490523338
1999047,14.55,2.9261067538755015E-5,0.05678263306617737
1999047,14.65,2.024471905315295E-5,0.0565829873085022
1999047,14.75,3.125250805169344E-5,0.053857408463954926
1999047,14.85,1.1698513844748959E-4,0.056791629642248154
1999047,14.95,2.5248224119422957E-5,0.041149791330099106
1999047,15.05,3.510020178509876E-5,0.036774661391973495
1999047,15.15,3.775993172894232E-5,0.05447734147310257
1999047,15.25,7.355593697866425E-5,0.07987414300441742
1999047,15.35,2.4827648303471506E-5,0.06378679722547531
1999047,15.45,4.409775647218339E-5,0.07473169267177582
1999047,15.55,1.4490311514236964E-5,0.0633658617734909
1999047,15.65,1.4765870218980126E-5,0.06676691770553589
1999047,15.75,4.701956277131103E-5,0.0873018279671669
1999047,15.85,3.5180506529286504E-5,0.06933408230543137
1999047,15.95,1.9895602235919796E-5,0.05697987228631973
1999047,16.05,3.095096690231003E-5,0.0642818957567215
1999047,16.15,2.0985065930290148E-5,0.08990832418203354
1999047,16.25,2.1103272956679575E-5,0.06953387707471848
1999047,16.35,2.4302087695105E-5,0.0688171535730362
1999047,16.45,4.3196276237722486E-5,0.09139351546764374
1999047,16.55,2.760284587566275E-5,0.05751919373869896
1999047,16.65,2.5986082619056106E-5,0.05904650315642357
1999047,16.75,7.230222399812192E-5,0.06267616152763367
1999047,16.85,1.0523867240408435E-4,0.06920984387397766
1999047,16.95,7.810931128915399E-5,0.05664447695016861
1999047,17.05,2.7264474192634225E-4,0.060507673770189285
1999047,17.15,4.0833267848938704E-4,0.07402054220438004
1999047,17.25,5.3470124839805067E-5,0.036123767495155334
1999047,17.35,6.924063200131059E-5,0.04017972946166992
1999047,17.45,5.950275808572769E-4,0.05718471482396126
1999047,17.55,1.2916384730488062E-4,0.07025448232889175
1999047,17.65,1.4123297296464443E-4,0.05838931351900101
1999047,17.75,3.551999689079821E-4,0.061474863439798355
1999047,17.85,6.428101914934814E-5,0.06159014627337456
1999047,17.95,1.0771633969852701E-4,0.05646451562643051
1999047,18.05,6.457378622144461E-4,0.05796676129102707
1999047,18.15,9.87899984465912E-5,0.06349083036184311
1999047,18.25,1.1703724157996476E-4,0.06321817636489868
1999047,18.35,4.774791523232125E-5,0.04771154373884201
1999047,18.45,2.0766429952345788E-4,0.05355161055922508
1999047,18.55,9.530069655738771E-5,0.0691482424736023
1999047,18.65,1.705077156657353E-4,0.06324753910303116
1999047,18.75,1.8357137741986662E-4,0.05886896327137947
1999047,18.85,4.711241344921291E-4,0.05976182594895363
1999047,18.95,1.0324655886506662E-4,0.05908984690904617
1999047,19.05,9.621265780879185E-5,0.06130021810531616
1999047,19.15,8.748861000640318E-5,0.05806402862071991
1999047,19.25,2.855418133549392E-4,0.061670321971178055
1999047,19.35,4.3081643525511026E-4,0.06949283927679062
1999047,19.45,2.5854536215774715E-4,0.06610952317714691
1999047,19.55,4.180282703600824E-4,0.07930690050125122
1999047,19.65,9.40955724217929E-5,0.06893499195575714
1999047,19.75,6.787923484807834E-5,0.06517505645751953
1999047,19.85,5.911250627832487E-5,0.054788004606962204
1999047,19.95,5.5855158279882744E-5,0.06783217191696167
1999047,20.05,1.0182743426412344E-4,0.07244300097227097
1999047,20.15,3.219633945263922E-4,0.08728882670402527
1999047,20.25,3.1841002055443823E-4,0.09185483306646347
1999047,20.35,2.364295069128275E-4,0.08941444009542465
1999047,20.45,1.3102909724693745E-4,0.10874079912900925
1999047,20.55,4.903879380435683E-5,0.07223594188690186
1999047,20.65,5.532638169825077E-5,0.06132510304450989
1999047,20.75,6.979909085202962E-5,0.05399785935878754
1999047,20.85,6.488800863735378E-5,0.06393824517726898
1999047,20.95,1.2919715663883835E-4,0.07446896284818649
1999047,21.05,1.2653104204218835E-4,0.08613003045320511
1999047,21.15,3.9198712329380214E-4,0.11718763411045074
1999047,21.25,5.0466500397305936E-5,0.07700110971927643
1999047,21.35,5.408752986113541E-5,0.0689813420176506
1999047,21.45,5.950618287897669E-5,0.061102494597435
1999047,21.55,4.698725024354644E-5,0.0584048293530941
1999047,21.65,7.445053779520094E-5,0.056641317903995514
1999047,21.75,9.295656491303816E-5,0.056467700749635696
